solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.0009518712759017944,0.7495523318648338,true,1,-1,1,2,res_dt.gml
0.0019062086939811707,3.1409340538084507,true,5,-1,2,2,res_dt.gml
0.1726738065481186,7.8878987319767475,true,48,-1,3,2,res_dt.gml
0.9975505694746971,15.329071536660194,true,212,-1,4,2,res_dt.gml
2.9807608537375927,25.954995684325695,true,184,-1,5,2,res_dt.gml
3.898277908563614,32.86404553428292,true,319,-1,6,2,res_dt.gml
7.610757619142532,48.426636941730976,true,1107,-1,7,2,res_dt.gml
15.043435253202915,70.14893671125174,true,3927,-1,8,2,res_dt.gml
34.370600014925,103.05661594867706,true,7410,-1,9,2,res_dt.gml
51.69029700756073,141.23186814039946,true,23815,-1,10,2,res_dt.gml
