solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.0067489370703697205,0.3543517142534256,true,26,-1,5,2,res_Gblnet.gml
0.7239243388175964,1.1289151683449745,true,91,-1,15,2,res_Gblnet.gml
3.3230039551854134,3.8010003939270973,true,176,-1,25,2,res_Gblnet.gml
14.882505528628826,15.482609711587429,true,281,-1,35,2,res_Gblnet.gml
24.85083605349064,25.565667681396008,true,361,-1,45,2,res_Gblnet.gml
44.82218895852566,45.69623453170061,true,441,-1,55,2,res_Gblnet.gml
115.89662276208401,116.72668197751045,true,586,-1,65,2,res_Gblnet.gml
234.94478661566973,236.03639417141676,true,676,-1,75,2,res_Gblnet.gml
363.8002212420106,364.9481649249792,true,766,-1,85,2,res_Gblnet.gml
632.9295165464282,634.2436552122235,true,856,-1,95,2,res_Gblnet.gml
609.7948061749339,611.4762172698975,true,946,-1,105,2,res_Gblnet.gml
925.9580154940486,927.484192237258,true,1036,-1,115,2,res_Gblnet.gml
850.5771206468344,852.4181602671742,true,1126,-1,125,2,res_Gblnet.gml
1585.459883004427,1587.4871622473001,true,1351,-1,135,2,res_Gblnet.gml
1705.5535482764244,1707.6899057105184,true,1451,-1,145,2,res_Gblnet.gml
