solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.0009227991104125977,0.7419068515300751,true,1,-1,1,5,res_kanto11.gml
0.0018417909741401672,3.0229489356279373,true,7,-1,2,5,res_kanto11.gml
0.00971001386642456,6.682393506169319,true,25,-1,3,5,res_kanto11.gml
0.6909012421965599,15.251605868339539,true,167,-1,4,5,res_kanto11.gml
0.8115073889493942,33.15274403244257,true,364,-1,5,5,res_kanto11.gml
0.9979633018374443,60.18533903360367,true,691,-1,6,5,res_kanto11.gml
2.3280660435557365,72.82090067118406,true,200,-1,7,5,res_kanto11.gml
16.330847278237343,122.02004412561655,true,2491,-1,8,5,res_kanto11.gml
52.56345024704933,530.7122805118561,true,549,-1,9,5,res_kanto11.gml
146.65126889944077,943.4736640900373,true,1190,-1,10,5,res_kanto11.gml
