solve time,all time,satisfiable,size,solution_count,demands,wavelengths,graph
0.007669180631637573,0.34311945736408234,true,31,-1,5,2,res_Gblnet.gml
0.039835236966609955,0.5070801973342896,true,81,-1,10,2,res_Gblnet.gml
0.6392720863223076,1.3068578019738197,true,121,-1,15,2,res_Gblnet.gml
2.005007192492485,2.973254755139351,true,201,-1,20,2,res_Gblnet.gml
5.956615157425404,7.344875238835812,true,251,-1,25,2,res_Gblnet.gml
8.805156491696835,10.57911841571331,true,301,-1,30,2,res_Gblnet.gml
14.610448569059372,17.03187245130539,true,421,-1,35,2,res_Gblnet.gml
19.38830166310072,22.290166586637497,true,481,-1,40,2,res_Gblnet.gml
40.3268333747983,43.820762537419796,true,541,-1,45,2,res_Gblnet.gml
45.63037001341581,49.92168581485748,true,601,-1,50,2,res_Gblnet.gml
46.73593578487635,51.824701085686684,true,661,-1,55,2,res_Gblnet.gml
88.82968009263277,94.33833719044924,true,721,-1,60,2,res_Gblnet.gml
145.39568704366684,151.99677726626396,true,911,-1,65,2,res_Gblnet.gml
150.08790595829487,157.16574768722057,true,981,-1,70,2,res_Gblnet.gml
145.29651711136103,153.65267991274595,true,1051,-1,75,2,res_Gblnet.gml
214.0896481499076,223.30005890876055,true,1121,-1,80,2,res_Gblnet.gml
182.1058913692832,193.22200383991003,true,1191,-1,85,2,res_Gblnet.gml
213.1476435959339,225.6321554929018,true,1261,-1,90,2,res_Gblnet.gml
232.71453189104795,246.7009660974145,true,1331,-1,95,2,res_Gblnet.gml
