solve time,constraint time,all time,satisfiable,demands,slots,graph
3.4762434288859367,739.246633850038,742.722877278924,true,70,320,res_dt.gml
0.9387528449296951,236.02694483846426,236.96569768339396,true,40,320,res_dt.gml
1.491703912615776,369.60105016082525,371.09275407344103,true,50,320,res_dt.gml
0.18693099170923233,14.838503949344158,15.02543494105339,true,10,320,res_dt.gml
3.542309023439884,1778.2345603629947,1781.7768693864346,true,110,320,res_dt.gml
1.9370920285582542,529.76248010993,531.6995721384883,true,60,320,res_dt.gml
0.31206610053777695,58.56182509660721,58.873891197144985,true,20,320,res_dt.gml
3.931174159049988,954.1158362329006,958.0470103919506,true,80,320,res_dt.gml
0.5355944409966469,132.72139243036509,133.25698687136173,true,30,320,res_dt.gml
1.719408132135868,1476.4036853536963,1478.1230934858322,true,100,320,res_dt.gml
1.36623714864254,1193.1865492090583,1194.5527863577008,true,90,320,res_dt.gml
