solve time,constraint time,all time,satisfiable,demands,slots,graph
3.344836711883545,1229.3051519542933,1232.6499886661768,true,160,320,res_kanto11.gml
3.2172062173485756,1233.3243799731135,1236.541586190462,true,130,320,res_kanto11.gml
2.2756078243255615,506.78244771808386,509.0580555424094,true,70,320,res_kanto11.gml
7.533091366291046,1211.0740082338452,1218.6070996001363,true,120,320,res_kanto11.gml
0.9122746586799622,171.13464867323637,172.04692333191633,true,40,320,res_kanto11.gml
1.63227279484272,266.74371515214443,268.37598794698715,true,50,320,res_kanto11.gml
0.1638149842619896,10.74571941792965,10.909534402191639,true,10,320,res_kanto11.gml
3.7977954298257828,1290.7153100073338,1294.5131054371595,true,150,320,res_kanto11.gml
8.948078379034996,1213.8470614179969,1222.7951397970319,true,110,320,res_kanto11.gml
1.6594334542751312,378.98470491170883,380.64413836598396,true,60,320,res_kanto11.gml
0.24054593592882156,43.75108698755503,43.99163292348385,true,20,320,res_kanto11.gml
3.0385270342230797,680.9173730686307,683.9559001028538,true,80,320,res_kanto11.gml
3.1058490350842476,1225.8289057984948,1228.934754833579,true,190,320,res_kanto11.gml
3.1772912442684174,1251.8777749314904,1255.0550661757588,true,140,320,res_kanto11.gml
3.4306702837347984,1234.5235375091434,1237.9542077928782,true,180,320,res_kanto11.gml
0.40117689967155457,96.13693982362747,96.53811672329903,true,30,320,res_kanto11.gml
1.2284608483314514,1056.3069895133376,1057.535450361669,true,100,320,res_kanto11.gml
3.1792200058698654,1230.102094642818,1233.2813146486878,true,200,320,res_kanto11.gml
1.122875988483429,844.7725298330188,845.8954058215022,true,90,320,res_kanto11.gml
3.205131247639656,1245.4426846578717,1248.6478159055114,true,170,320,res_kanto11.gml
