solve time,constraint time,all time,satisfiable,demands,slots,graph
21.709238156676292,10397.93706599623,10419.646304152906,true,260,320,res_dt.gml
9.196206085383892,3796.432473041117,3805.628679126501,true,160,320,res_dt.gml
5.303227476775646,2117.6022400334477,2122.9054675102234,true,120,320,res_dt.gml
0.9317982494831085,241.97827000170946,242.91006825119257,true,40,320,res_dt.gml
16.040854953229427,7190.70766274631,7206.74851769954,true,220,320,res_dt.gml
24.222613960504532,11290.7823799029,11315.004993863404,true,280,320,res_dt.gml
1.9581951647996902,541.6145135909319,543.5727087557316,true,60,320,res_dt.gml
1.5529883280396461,60.39111816883087,61.94410649687052,true,20,320,res_dt.gml
3.5674931928515434,933.0798649713397,936.6473581641912,true,80,320,res_dt.gml
6.93052564561367,2982.150901518762,2989.081427164376,true,140,320,res_dt.gml
10.730518944561481,4846.203622318804,4856.934141263366,true,180,320,res_dt.gml
2.2070749402046204,1473.3264960721135,1475.5335710123181,true,100,320,res_dt.gml
21.074797369539738,6004.82516400516,6025.8999613747,true,200,320,res_dt.gml
17.909422807395458,8581.15414558351,8599.063568390906,true,240,320,res_dt.gml
